Time (fs)	,	Dipole 10A	,	Dipole 3A	,	3A-10A
0.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
0.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
0.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
0.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
0.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
1.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
1.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
1.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
1.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
1.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
2.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
2.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
2.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
2.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
2.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
3.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
3.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
3.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
3.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
3.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
4.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
4.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
4.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
4.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
4.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
5.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
5.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
5.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
5.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
5.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
