Time (fs)	,	E-field (MV/cm)
0.00	,	1.88E-02
0.20	,	3.76E-02
0.40	,	5.64E-02
0.60	,	7.51E-02
0.80	,	9.36E-02
1.00	,	1.12E-01
1.20	,	1.30E-01
1.40	,	1.48E-01
1.60	,	1.66E-01
1.80	,	1.84E-01
2.00	,	2.01E-01
2.20	,	2.18E-01
2.40	,	2.35E-01
2.60	,	2.52E-01
2.80	,	2.68E-01
3.00	,	2.83E-01
3.20	,	2.99E-01
3.40	,	3.14E-01
3.60	,	3.28E-01
3.80	,	3.42E-01
4.00	,	3.56E-01
4.20	,	3.69E-01
4.40	,	3.81E-01
4.60	,	3.93E-01
4.80	,	4.04E-01
5.00	,	4.15E-01
5.20	,	4.25E-01
5.40	,	4.35E-01
5.60	,	4.44E-01
5.80	,	4.52E-01
6.00	,	4.60E-01
6.20	,	4.67E-01
6.40	,	4.73E-01
6.60	,	4.79E-01
6.80	,	4.84E-01
7.00	,	4.89E-01
7.20	,	4.92E-01
7.40	,	4.95E-01
7.60	,	4.97E-01
7.80	,	4.99E-01
8.00	,	5.00E-01
8.20	,	5.00E-01
8.40	,	4.99E-01
8.60	,	4.98E-01
8.80	,	4.96E-01
9.00	,	4.93E-01
9.20	,	4.90E-01
9.40	,	4.86E-01
9.60	,	4.81E-01
9.80	,	4.76E-01
10.00	,	4.70E-01
10.20	,	4.63E-01
10.40	,	4.55E-01
10.60	,	4.47E-01
10.80	,	4.38E-01
11.00	,	4.29E-01
11.20	,	4.19E-01
11.40	,	4.09E-01
11.60	,	3.97E-01
11.80	,	3.86E-01
12.00	,	3.73E-01
12.20	,	3.61E-01
12.40	,	3.47E-01
12.60	,	3.34E-01
12.80	,	3.19E-01
13.00	,	3.05E-01
13.20	,	2.89E-01
13.40	,	2.74E-01
13.60	,	2.58E-01
13.80	,	2.42E-01
14.00	,	2.25E-01
14.20	,	2.08E-01
14.40	,	1.91E-01
14.60	,	1.73E-01
14.80	,	1.55E-01
15.00	,	1.37E-01
15.20	,	1.19E-01
15.40	,	1.01E-01
15.60	,	8.23E-02
15.80	,	6.37E-02
16.00	,	4.50E-02
16.20	,	2.62E-02
16.40	,	7.37E-03
16.60	,	-1.15E-02
16.80	,	-3.03E-02
17.00	,	-4.91E-02
17.20	,	-6.78E-02
17.40	,	-8.64E-02
17.60	,	-1.05E-01
17.80	,	-1.23E-01
18.00	,	-1.41E-01
18.20	,	-1.59E-01
18.40	,	-1.77E-01
18.60	,	-1.95E-01
18.80	,	-2.12E-01
19.00	,	-2.29E-01
19.20	,	-2.45E-01
19.40	,	-2.61E-01
19.60	,	-2.77E-01
19.80	,	-2.93E-01
20.00	,	-3.08E-01
20.20	,	-3.23E-01
20.40	,	-3.37E-01
20.60	,	-3.50E-01
20.80	,	-3.64E-01
21.00	,	-3.76E-01
21.20	,	-3.88E-01
21.40	,	-4.00E-01
21.60	,	-4.11E-01
21.80	,	-4.21E-01
22.00	,	-4.31E-01
22.20	,	-4.40E-01
